caseid,srv_spend,campfin,immig_legal,immig_numb,equalpay,parleave,crimespend,death,terror_worry,minwage,healthspend,childcare,getahead,freetrade
105,3,7,2,4,4,4,5,6,4,2,4,4,3,6
106,997,2,2,2,1,1,8,7,3,1,1,1,1,4
107,1,7,1,1,4,7,7,7,9,4,7,7,3,1
108,4,1,1,6,1,3,3,7,5,1,2,3,2,2
109,7,1,6,3,1,1,4,3,5,1,1,1,2,6
110,1,3,1,4,1,2,4,1,1,2,7,5,2,5
111,1,2,1,4,3,5,4,1,2,2,4,5,2,4
112,5,7,2,4,2,3,3,2,3,1,2,4,2,3
113,2,3,7,7,5,7,1,1,2,2,7,7,2,6
114,2,4,2,5,1,3,1,2,9,4,7,7,5,5
115,4,4,1,3,1,1,4,6,5,1,4,4,4,2
116,997,4,4,7,1,1,4,4,1,8,8,4,1,4
117,4,2,1,2,1,4,4,6,4,1,3,3,3,1
118,7,1,1,4,1,1,1,3,3,1,2,2,2,7
119,3,2,3,3,3,3,5,2,9,2,3,4,2,3
120,5,1,4,4,1,1,3,2,2,1,2,3,2,4
121,4,2,2,4,2,1,4,2,9,2,4,4,2,5
122,6,4,5,5,1,3,3,1,9,1,2,4,2,4
123,4,7,2,4,1,7,4,1,2,4,3,4,3,4
124,4,4,2,5,1,2,3,1,9,1,5,5,3,4
125,3,1,4,4,1,1,1,1,9,1,1,2,2,7
126,6,2,1,3,1,2,2,4,3,1,3,2,2,4
127,5,4,2,3,1,1,2,3,1,1,3,4,3,3
128,2,4,1,4,4,6,4,1,1,3,7,4,5,4
129,997,4,4,4,4,4,4,4,9,2,5,4,2,4
130,4,1,2,4,1,5,3,2,9,1,3,7,2,2
131,5,1,4,2,1,1,4,6,5,1,1,2,1,4
132,3,2,2,2,1,3,3,3,4,2,3,4,4,2
133,2,1,3,6,1,1,1,1,2,1,7,1,5,4
134,4,1,6,6,1,2,3,1,9,1,4,4,2,4
135,4,1,2,4,1,1,2,4,9,1,3,3,3,4
136,1,1,6,5,1,2,2,2,1,2,4,2,2,5
137,1,1,3,3,1,3,2,1,3,2,5,4,2,4
138,997,4,4,7,1,1,2,3,9,2,4,4,2,4
139,1,4,1,4,1,1,4,1,9,1,4,4,5,7
140,1,4,5,5,3,3,4,1,9,2,3,4,2,4
141,4,4,4,5,2,4,3,1,3,2,4,3,3,5
142,3,1,1,4,2,4,2,1,1,1,5,4,2,4
143,6,1,1,4,1,1,2,2,9,1,1,1,5,1
144,7,1,1,3,1,3,4,1,3,1,1,3,3,7
145,6,4,2,4,2,4,4,3,4,1,3,4,3,3
146,997,4,4,4,1,3,4,1,3,1,4,4,3,4
147,5,1,1,4,1,2,3,7,9,1,2,3,3,2
148,1,4,3,3,1,3,2,1,2,1,1,5,2,6
149,4,4,1,4,2,3,2,1,9,1,1,2,2,4
150,3,1,2,2,1,3,2,5,5,2,5,6,4,5
151,1,1,3,5,1,7,4,1,9,2,6,7,3,5
152,997,1,7,7,1,1,4,1,9,1,1,4,2,4
153,2,7,7,7,1,4,3,1,2,1,4,6,1,2
154,4,4,3,4,1,1,2,5,2,1,3,3,2,4
155,2,1,3,5,1,2,3,1,3,2,2,3,3,5
156,4,6,6,7,1,1,3,2,2,1,3,4,3,3
157,4,6,4,4,1,5,2,3,5,2,3,3,5,4
