caseid,pid1d,pid1r,lcself,lcd,lcr,lchc,lcdt
198,3,9,5,1,5,2,5
199,1,9,2,2,7,2,7
200,9,2,7,1,6,1,7
201,9,2,7,1,6,1,6
202,9,1,7,6,6,7,6
203,9,1,2,3,7,3,7
204,9,1,5,4,5,4,4
205,2,9,7,1,5,1,5
206,1,9,4,4,4,4,4
207,9,1,4,3,6,5,7
208,9,3,7,1,5,1,4
209,9,3,3,3,7,2,7
210,2,9,6,2,5,1,7
211,9,3,6,1,5,1,6
212,9,2,6,1,7,1,6
213,9,3,2,3,7,4,7
214,9,1,4,2,7,2,2
215,3,9,4,1,5,1,5
216,3,9,1,3,7,4,7
217,3,9,6,2,5,1,4
218,9,3,5,1,6,1,3
219,9,2,5,2,6,1,6
220,9,2,7,1,5,2,4
221,9,2,6,1,7,1,6
222,3,9,3,2,7,4,6
223,3,9,6,3,6,2,7
224,9,1,1,1,4,1,4
225,1,9,1,2,7,2,7
226,9,2,6,1,5,1,4
227,3,9,5,1,4,1,4
228,9,2,6,1,7,1,6
229,1,9,2,3,7,2,4
230,3,9,7,1,6,1,7
231,1,9,4,5,1,6,2
232,3,9,5,1,7,1,5
233,9,3,4,2,6,2,5
234,9,3,7,1,3,1,2
235,9,1,5,1,7,1,5
236,1,9,2,3,7,4,5
237,9,1,2,2,7,2,5
238,9,3,4,1,3,1,3
239,9,2,4,2,5,1,5
240,9,2,5,1,6,1,3
241,1,9,4,3,7,3,7
242,3,9,6,3,7,3,1
243,3,9,3,2,5,3,5
244,2,9,4,2,6,1,7
245,9,2,6,2,4,2,5
246,9,1,1,2,7,2,7
247,9,1,3,3,7,4,4
248,4,9,4,3,5,3,2
249,9,1,3,4,6,4,7
250,9,2,4,3,5,3,6
251,2,9,7,1,6,1,5
252,1,9,5,3,2,5,1
253,2,9,6,1,6,1,4
254,3,9,7,4,7,1,7
255,9,1,2,2,6,2,7
256,1,9,2,2,6,2,5
257,9,2,7,1,1,1,1
258,9,1,4,4,4,4,4
