caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
981,4,4,5,2,3,9
982,1,9,1,9,3,9
983,9,1,3,9,4,9
984,1,1,3,9,9,4
985,2,2,3,4,2,9
986,9,1,3,7,3,9
987,1,1,3,9,4,9
988,3,9,4,9,3,9
989,2,3,4,9,9,3
990,2,9,5,7,4,9
991,9,1,3,9,4,9
992,9,4,4,9,1,9
993,2,3,3,7,9,4
994,1,1,1,9,9,2
995,1,9,2,1,9,1
996,3,9,3,4,9,2
997,4,2,3,4,3,9
998,9,3,4,9,9,2
999,9,3,5,9,9,1
1000,4,4,5,4,1,9
1001,3,9,5,9,9,4
1002,1,1,3,7,9,4
1003,9,3,4,3,9,2
1004,2,2,3,9,4,9
1005,9,3,2,7,9,3
1006,1,2,2,6,9,4
1007,9,4,3,4,4,9
1008,9,2,4,5,4,9
1009,2,3,5,9,9,4
1010,3,4,4,1,2,9
1011,1,9,1,9,9,1
1012,9,4,4,9,9,3
1013,9,3,5,2,9,1
1014,4,4,5,1,2,9
1015,3,3,4,1,9,3
1016,1,9,3,7,9,3
1017,3,3,4,7,9,4
1018,2,3,3,9,9,1
1019,9,2,2,7,3,9
1020,9,5,5,2,9,2
1021,9,3,5,9,9,3
1022,3,9,3,4,9,2
1023,1,9,2,9,4,9
1024,1,2,2,9,3,9
1025,1,2,1,9,1,9
1026,1,1,4,7,9,4
1027,4,9,5,9,1,9
1028,9,2,3,3,2,9
1029,1,2,4,7,3,9
1030,4,5,5,2,9,2
1031,4,9,5,9,9,1
1032,9,5,5,9,9,3
1033,3,4,4,6,3,9
1034,9,2,2,7,3,9
1035,9,3,4,7,4,9
1036,2,9,4,7,4,9
1037,3,3,5,4,3,9
1038,9,1,2,5,4,9
1039,9,5,4,7,9,4
1040,5,9,5,9,9,4
1041,5,5,5,9,1,9
1042,4,4,4,9,9,2
1043,1,9,4,4,2,9
1044,2,2,5,9,2,9
1045,2,2,5,9,4,9
1046,2,9,2,4,9,1
1047,9,1,5,6,4,9
1048,9,2,2,7,9,1
1049,5,4,5,9,3,9
1050,1,1,1,9,9,3
1051,4,9,5,9,2,9
1052,2,9,3,1,1,9
1053,9,3,4,4,9,2
1054,5,9,5,9,9,4
1055,1,1,4,7,3,9
1056,2,9,3,9,4,9
1057,3,9,4,9,9,3
1058,9,3,4,9,4,9
1059,4,9,5,9,9,2
1060,2,3,4,9,4,9
1061,5,2,5,1,1,9
1062,3,3,3,9,9,2
1063,3,9,5,9,1,9
1064,9,2,4,7,4,9
1065,4,9,5,9,4,9
1066,9,3,4,1,1,9
1067,3,9,4,9,4,9
1068,9,1,3,7,1,9
1069,9,4,5,9,4,9
1070,2,9,2,9,9,1
1071,3,9,4,6,3,9
1072,3,9,3,4,4,9
1073,2,9,4,9,9,4
1074,1,2,3,7,3,9
1075,1,1,3,7,9,4
1076,2,2,3,9,4,9
1077,2,5,1,6,2,9
1078,9,3,5,4,9,3
1079,9,1,1,7,3,9
1080,1,3,2,9,2,9
1081,2,9,2,9,2,9
1082,5,9,5,9,9,4
1083,2,2,3,9,9,4
1084,9,4,4,9,9,4
1085,3,3,5,6,2,9
1086,2,9,3,5,4,9
1087,4,9,4,9,9,3
1088,9,5,5,1,1,9
1089,3,9,3,7,3,9
1090,3,9,2,9,9,3
1091,1,9,1,9,1,9
1092,3,9,4,1,9,4
1093,9,3,3,9,2,9
1094,4,4,5,1,9,2
1095,1,9,1,9,2,9
1096,9,4,5,6,4,9
1097,4,5,5,5,3,9
1098,9,3,4,6,9,4
1099,1,9,1,9,9,2
1100,9,2,2,3,9,1
1101,9,3,3,4,3,9
1102,9,5,1,7,9,1
1103,1,9,1,7,9,1
1104,2,4,5,9,1,9
1105,1,9,2,6,9,4
1106,3,3,4,9,9,3
1107,3,3,4,9,2,9
1108,5,4,5,6,9,4
1109,4,4,5,2,9,2
1110,2,2,2,9,3,9
1111,3,2,5,9,9,4
1112,1,1,1,9,2,9
1113,9,5,5,9,9,1
1114,5,9,5,9,9,1
1115,9,4,5,1,2,9
1116,9,2,4,9,3,9
1117,3,3,5,7,4,9
1118,3,9,3,6,9,4
1119,1,9,1,9,9,4
1120,9,2,2,6,9,4
1121,3,5,5,9,9,3
1122,9,4,4,9,2,9
1123,9,4,5,9,9,4
1124,2,9,2,2,9,2
1125,3,9,4,2,9,2
1126,5,9,5,9,1,9
1127,3,4,5,1,9,2
1128,3,9,5,4,9,3
1129,9,4,5,2,9,2
1130,3,4,5,9,9,4
1131,9,1,1,2,1,9
1132,9,3,4,9,3,9
1133,1,9,3,7,9,4
1134,9,3,3,1,1,9
1135,9,2,1,3,9,2
1136,2,9,3,3,4,9
1137,5,9,5,2,9,3
1138,1,9,3,9,4,9
1139,3,3,3,4,3,9
1140,3,9,3,6,9,4
1141,2,9,3,9,4,9
1142,4,9,4,9,9,4
1143,1,9,3,7,4,9
1144,3,4,4,9,9,2
1145,9,3,3,4,2,9
1146,2,9,3,4,9,3
1147,9,3,4,3,9,3
1148,9,4,4,4,9,3
1149,1,9,2,9,9,4
1150,3,9,3,9,3,9
1151,3,9,5,3,9,4
1152,1,9,4,3,9,3
1153,4,4,5,3,9,2
1154,3,9,4,9,3,9
1155,9,5,5,9,9,2
1156,2,2,1,9,9,1
1157,9,4,4,9,4,9
1158,4,9,5,1,1,9
1159,9,1,1,1,4,9
1160,9,3,4,4,4,9
1161,4,9,4,9,3,9
1162,3,4,2,9,2,9
1163,3,9,3,9,9,3
1164,5,4,5,9,1,9
1165,4,9,4,9,2,9
1166,4,4,5,5,9,3
1167,9,5,4,9,9,2
1168,4,4,5,7,4,9
1169,1,1,1,4,1,9
1170,1,9,1,3,9,2
1171,4,5,5,4,3,9
1172,2,4,4,1,9,2
1173,9,3,4,1,3,9
1174,2,9,2,9,9,1
1175,5,5,5,2,1,9
1176,4,9,5,9,2,9
1177,1,1,4,9,3,9
1178,1,5,1,9,9,1
1179,1,9,3,9,2,9
1180,3,5,5,9,2,9
1181,4,4,2,9,3,9
1182,9,4,4,9,9,3
1183,9,5,5,9,9,4
1184,9,2,2,7,4,9
1185,9,4,5,2,9,3
1186,2,2,3,9,9,1
1187,1,9,3,9,9,2
1188,9,2,1,9,9,4
1189,1,3,3,9,9,3
1190,3,3,3,9,9,4
1191,9,2,4,2,1,9
1192,5,3,5,7,9,2
1193,5,4,5,4,9,2
1194,2,1,1,9,1,9
1195,1,9,4,7,9,1
1196,3,9,2,4,9,2
1197,1,1,2,3,9,2
1198,9,5,5,2,3,9
1199,4,4,4,5,9,1
1200,9,3,1,9,9,2
