caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
226,2,9,4,6,9,4
227,9,2,4,7,9,4
228,2,1,4,7,9,4
229,9,4,5,9,4,9
230,9,4,5,9,4,9
231,1,9,3,9,2,9
232,2,9,3,7,9,4
233,5,4,5,6,9,4
234,9,4,5,7,9,4
235,1,1,5,9,4,9
236,9,3,5,9,9,4
237,3,3,4,9,9,1
238,3,9,5,6,3,9
239,9,2,4,3,9,3
240,1,1,4,7,1,9
241,9,1,1,4,9,1
242,9,2,4,9,9,2
243,4,9,5,2,9,2
244,4,4,5,9,9,3
245,9,3,4,5,9,4
246,9,3,5,9,9,1
247,4,9,5,9,2,9
248,3,4,5,9,2,9
249,9,3,5,9,4,9
250,5,5,5,4,2,9
251,3,4,5,7,4,9
252,3,9,4,6,2,9
253,9,3,4,7,9,4
254,4,2,4,9,1,9
255,5,9,5,9,9,3
256,3,4,3,4,9,2
257,1,9,1,9,9,4
258,3,4,4,4,9,3
259,4,4,4,2,9,1
260,4,4,5,2,2,9
261,3,9,4,6,3,9
262,4,5,5,9,9,3
263,2,9,3,9,4,9
264,9,3,3,5,3,9
265,1,9,2,7,1,9
266,3,3,4,9,3,9
267,4,9,4,5,9,4
268,9,4,4,9,3,9
269,3,9,4,9,9,2
270,2,3,3,3,9,3
271,9,2,3,1,9,1
272,1,1,3,9,4,9
273,4,9,5,4,9,4
274,9,4,4,9,9,4
275,5,9,5,4,2,9
276,2,9,4,7,9,4
277,4,4,4,2,1,9
278,9,4,4,3,9,3
279,1,1,2,9,4,9
280,9,4,2,7,3,9
281,9,2,5,7,9,4
282,9,4,4,7,9,4
283,9,5,5,9,9,1
284,2,9,4,5,4,9
285,2,2,3,9,4,9
286,1,3,3,9,4,9
287,4,4,5,9,1,9
288,5,3,5,3,9,3
289,3,4,4,9,9,4
290,2,2,3,4,9,3
291,9,4,4,9,1,9
292,9,5,5,1,1,9
293,3,9,4,2,3,9
294,9,4,4,4,2,9
295,2,3,3,9,4,9
296,9,3,4,9,4,9
297,3,3,5,2,9,3
298,9,1,4,7,4,9
299,5,9,5,9,1,9
300,3,9,5,7,4,9
301,9,4,4,9,4,9
302,3,9,3,9,9,2
303,9,2,4,7,9,4
304,3,9,3,9,4,9
305,9,1,1,7,9,1
306,2,9,3,1,1,9
307,1,2,4,7,4,9
308,5,9,5,9,9,4
309,9,3,3,9,4,9
310,3,9,4,9,3,9
311,9,2,5,9,4,9
312,1,1,4,2,9,4
313,1,9,3,9,4,9
314,3,4,5,7,4,9
315,2,9,4,7,2,9
316,9,1,1,7,9,4
317,5,9,5,9,2,9
318,3,2,5,6,9,4
319,1,1,1,9,2,9
320,2,2,4,7,9,2
321,2,9,2,4,1,9
322,9,1,2,9,4,9
323,9,3,3,1,4,9
324,3,3,3,9,4,9
325,1,9,3,9,9,4
326,4,9,4,9,4,9
327,1,9,3,2,9,2
