caseid,meet,givefut,info,march,sign,give12mo
992,3,4,5,2,2,2
993,5,5,4,2,2,2
994,3,5,4,1,1,1
995,1,2,2,2,1,2
996,1,1,1,2,2,2
997,2,1,1,1,2,1
998,5,5,5,2,2,2
999,2,1,2,2,2,1
1000,3,4,5,2,2,2
1001,4,4,5,2,2,2
1002,1,2,2,2,1,2
1003,3,3,3,2,2,2
1004,1,1,1,1,1,1
1005,4,5,5,1,2,2
1006,4,5,5,2,2,2
1007,5,5,5,1,2,2
1008,4,4,5,2,2,2
1009,4,5,4,2,2,2
1010,4,4,5,2,2,2
1011,4,4,4,2,2,2
1012,5,5,5,2,2,2
1013,4,2,4,2,1,1
1014,1,1,1,1,1,1
1015,5,5,5,2,2,2
1016,5,5,5,2,2,2
1017,2,4,3,2,1,2
1018,3,5,5,2,2,2
1019,3,3,3,2,2,2
1020,5,5,5,2,2,2
1021,4,4,5,2,2,2
1022,4,4,4,2,2,2
1023,4,5,5,2,2,2
1024,3,2,4,2,2,2
1025,5,2,4,1,2,2
1026,5,3,4,2,2,2
1027,5,3,5,2,2,2
1028,2,2,2,1,1,1
1029,5,5,5,2,2,2
1030,2,1,1,1,1,1
1031,5,5,5,2,2,2
1032,5,5,5,2,2,2
1033,4,5,4,2,2,2
1034,5,5,5,2,2,2
1035,5,5,5,2,2,2
1036,4,5,1,2,1,2
1037,4,5,5,2,2,2
1038,2,4,2,2,2,2
1039,5,5,5,2,2,2
1040,5,5,5,2,2,2
1041,1,1,1,2,1,1
1042,4,5,5,2,2,2
1043,4,2,1,2,1,1
1044,4,5,5,2,2,2
1045,1,2,2,2,1,2
1046,4,4,4,2,1,1
1047,5,5,5,2,2,2
1048,4,5,5,2,1,2
1049,5,4,5,1,1,1
1050,5,5,5,2,2,2
1051,2,2,2,2,2,1
1052,5,5,5,2,2,2
1053,5,5,4,2,2,2
1054,5,5,5,1,2,2
1055,5,5,4,2,2,2
1056,5,5,5,2,2,2
1057,5,5,5,2,2,2
1058,4,5,5,2,2,2
1059,1,1,1,1,1,1
1060,4,5,4,2,2,2
1061,2,2,3,1,2,1
1062,3,5,5,1,1,1
1063,5,5,5,2,2,2
1064,1,2,1,2,1,1
1065,5,5,5,2,2,2
1066,2,4,1,2,2,2
1067,5,4,4,2,2,2
1068,5,3,5,2,2,2
1069,5,4,5,2,2,2
1070,4,4,3,1,1,1
1071,4,5,5,2,2,2
1072,5,5,5,2,2,2
1073,4,4,4,2,1,1
1074,5,3,4,2,2,2
1075,3,3,2,1,2,2
1076,5,5,5,2,2,2
1077,5,5,5,2,2,2
1078,5,5,5,2,2,2
1079,5,5,5,2,2,2
1080,3,5,3,2,2,2
1081,2,2,2,2,2,2
1082,3,2,4,2,2,2
1083,3,3,5,2,1,2
1084,5,5,5,2,2,2
1085,3,5,5,2,2,2
1086,5,5,5,2,2,2
1087,4,4,3,2,1,2
1088,4,4,3,2,2,2
1089,4,3,4,2,2,2
1090,2,4,4,2,2,2
1091,4,4,4,1,1,1
1092,2,4,5,1,2,2
1093,4,4,4,2,2,2
1094,3,4,5,2,2,2
1095,2,3,4,1,1,2
1096,3,4,2,1,1,1
1097,2,1,2,2,1,1
1098,3,2,3,2,1,2
1099,4,5,5,2,2,2
1100,2,2,2,1,1,1
1101,3,3,3,1,1,2
1102,1,4,4,2,2,2
1103,3,5,5,2,2,2
1104,5,5,5,2,2,2
1105,1,1,1,1,1,1
1106,5,5,5,2,2,2
1107,5,4,4,2,2,2
1108,5,5,5,2,2,2
1109,5,5,5,2,2,2
1110,5,4,3,2,1,2
1111,5,5,5,2,2,2
1112,1,1,1,1,1,1
1113,5,4,4,1,1,2
1114,2,1,1,2,1,1
1115,3,2,2,1,1,1
1116,4,4,4,2,1,2
1117,3,3,5,2,2,2
1118,5,5,5,2,2,2
1119,5,5,5,2,2,2
1120,4,5,5,2,2,2
1121,5,5,5,2,2,2
1122,5,4,5,2,2,2
1123,3,3,3,2,2,2
1124,4,4,4,2,1,2
1125,3,3,3,2,2,2
1126,1,1,1,1,1,2
1127,1,1,3,1,2,2
1128,5,5,5,2,2,2
1129,5,3,3,2,2,2
1130,5,5,5,1,2,2
1131,2,2,1,1,1,1
1132,5,5,5,2,2,2
1133,5,4,5,2,2,2
1134,3,1,3,1,2,1
1135,3,4,5,2,2,2
1136,3,2,2,1,2,2
1137,3,3,3,2,1,2
1138,5,4,3,2,2,2
1139,3,3,3,2,2,2
1140,2,3,3,2,2,2
1141,4,4,3,2,1,2
1142,5,4,4,2,2,2
1143,5,5,5,2,2,2
1144,5,5,5,2,2,2
1145,3,2,3,1,1,1
1146,3,3,3,2,2,2
1147,5,5,5,2,2,2
1148,5,5,4,2,2,2
1149,4,5,5,2,2,2
1150,5,5,5,2,2,1
1151,5,5,5,2,2,2
1152,5,5,5,2,2,2
1153,3,3,5,1,2,2
1154,3,3,5,2,1,2
1155,3,3,5,2,2,2
1156,1,1,2,1,1,1
1157,4,5,5,2,2,2
1158,4,2,5,2,2,2
1159,5,3,5,2,2,2
1160,5,5,4,2,2,2
1161,4,4,4,2,1,2
1162,4,5,4,2,2,2
1163,4,5,5,2,2,2
1164,1,3,3,2,2,2
1165,2,3,3,2,1,2
1166,5,5,5,2,2,2
1167,5,5,5,2,2,2
1168,1,1,1,2,1,1
1169,5,5,5,2,2,2
1170,4,5,4,2,2,2
1171,3,4,4,2,2,2
1172,1,5,5,2,2,2
1173,5,5,4,2,2,2
1174,4,5,5,2,2,2
1175,4,3,2,1,1,1
1176,3,3,5,1,1,1
1177,4,5,5,2,2,2
1178,5,5,5,2,2,2
1179,4,5,5,2,1,2
1180,3,4,4,2,2,2
1181,5,5,5,2,2,2
1182,5,5,5,2,2,2
1183,5,5,5,2,2,2
1184,2,1,3,2,1,1
1185,3,1,3,2,1,1
1186,3,5,5,2,2,2
1187,1,1,1,1,1,1
1188,4,5,5,2,2,2
1189,3,3,2,1,1,2
1190,4,5,5,2,2,2
1191,5,5,4,2,2,2
1192,3,4,5,2,2,2
1193,3,1,3,1,2,1
1194,1,1,2,1,1,1
1195,5,5,5,2,2,2
1196,2,4,5,1,1,2
1197,5,5,5,2,2,2
1198,4,3,3,1,1,1
1199,3,3,3,2,2,2
1200,5,5,5,2,2,2
