caseid,meet,givefut,info,march,sign,give12mo
227,5,3,5,1,2,2
228,4,5,5,2,2,2
229,5,5,5,2,2,2
230,4,5,5,2,2,2
231,3,3,5,2,2,2
232,5,5,5,2,2,2
233,5,5,5,2,2,2
234,1,2,2,2,1,1
235,3,5,3,2,2,2
236,4,5,3,2,1,2
237,3,1,5,2,2,1
238,3,5,4,2,2,2
239,5,5,5,2,2,2
240,5,5,5,2,2,2
241,2,4,3,2,2,2
242,5,5,3,2,2,2
243,5,5,5,2,2,2
244,5,3,5,2,2,2
245,3,5,5,2,2,2
246,5,5,2,2,1,2
247,4,4,3,2,1,2
248,5,5,5,2,2,2
249,5,5,5,2,2,2
250,3,3,5,2,2,2
251,1,2,2,1,1,1
252,5,5,5,2,2,2
253,3,4,4,2,2,2
254,3,4,2,2,1,2
255,2,2,2,2,2,2
256,3,4,3,2,2,2
257,1,1,1,2,2,2
258,5,5,5,2,2,2
259,3,2,3,2,2,2
260,3,1,4,2,2,1
261,3,3,3,1,2,2
262,3,3,4,2,2,2
263,3,3,3,2,2,2
264,2,3,3,2,1,1
265,3,5,5,2,1,2
266,4,3,4,2,2,2
267,2,2,3,2,1,1
268,5,3,5,2,2,1
269,5,4,5,2,2,2
270,1,1,1,1,1,1
271,5,3,3,2,1,1
272,4,4,4,2,2,2
273,5,4,5,2,1,1
274,4,3,3,1,2,2
275,5,3,5,1,1,2
276,4,5,5,2,2,2
277,4,1,1,1,1,1
278,2,1,3,1,2,2
279,1,3,2,2,1,1
280,4,5,5,2,2,2
281,5,5,5,2,2,2
282,4,5,4,2,2,2
283,2,2,2,1,2,1
284,5,5,5,2,2,2
285,4,5,5,2,1,2
286,5,5,5,2,2,2
287,5,2,5,2,2,1
288,2,3,2,2,2,2
289,5,5,5,2,2,2
290,5,5,4,2,2,2
291,4,5,5,2,2,2
292,5,5,5,2,2,2
293,4,3,4,2,1,2
294,5,5,5,2,2,2
295,4,5,5,2,1,2
296,5,4,3,2,2,2
297,5,5,5,2,1,2
298,5,5,5,2,2,2
299,3,4,4,2,2,1
300,4,4,3,1,1,2
301,5,5,5,2,1,2
302,5,5,5,2,2,2
303,1,5,4,2,2,2
304,1,3,3,1,1,2
305,4,5,5,2,2,2
306,5,5,4,2,2,2
307,4,5,3,2,2,2
308,1,3,3,2,1,1
309,5,5,5,2,2,2
310,3,4,3,2,2,2
311,5,5,5,2,2,2
312,1,5,5,2,2,2
313,4,5,5,2,2,2
314,3,3,2,2,1,1
315,5,5,5,2,2,2
316,4,5,5,2,2,2
317,3,1,3,2,1,1
318,2,4,3,2,1,2
319,1,1,1,1,1,1
320,5,5,5,2,1,2
321,5,5,3,2,2,2
322,3,1,4,2,1,1
323,1,3,2,2,1,2
324,5,5,5,2,2,2
325,4,2,3,2,1,1
326,5,3,5,2,2,2
327,5,1,5,2,2,1
328,4,5,5,2,2,2
329,5,5,5,2,2,2
330,1,1,2,2,1,1
331,2,3,3,2,1,2
332,2,3,1,1,2,1
333,4,5,5,2,2,2
334,3,2,4,2,2,1
335,2,2,3,2,2,1
336,5,5,5,2,2,2
337,1,1,1,1,1,1
338,5,5,5,2,2,2
339,4,5,5,2,2,2
340,4,4,4,2,2,2
341,5,4,5,2,2,2
342,5,5,5,2,2,2
343,3,4,5,2,2,2
344,3,5,5,2,2,2
345,5,2,3,1,2,1
346,5,5,5,2,2,2
347,5,5,5,2,2,2
348,2,3,4,1,1,2
349,4,5,5,2,2,2
350,4,5,4,2,2,2
351,4,3,5,2,2,2
352,5,5,5,2,2,2
353,4,4,5,2,2,2
354,5,4,5,2,2,2
355,5,5,5,2,2,2
356,5,5,5,2,2,1
357,5,3,3,2,2,2
358,4,4,4,2,2,2
359,5,4,5,2,2,2
360,3,4,4,2,2,2
361,5,5,5,2,2,2
362,3,3,3,1,1,2
363,5,5,5,2,2,2
364,3,3,3,1,2,2
365,4,4,4,2,2,1
366,2,2,3,1,2,1
367,3,3,3,2,1,2
368,3,3,3,2,2,2
369,3,4,5,2,2,2
370,4,5,3,2,2,2
371,3,4,4,2,2,2
372,5,5,5,2,2,2
373,2,2,3,2,2,2
374,5,5,5,2,2,2
375,4,4,4,2,2,2
376,5,3,5,2,2,2
377,3,4,3,2,2,2
378,4,5,4,2,2,2
379,5,4,5,2,2,2
380,5,5,5,2,2,2
381,5,5,5,2,2,2
382,2,5,5,2,2,2
383,5,5,5,2,2,2
384,1,2,3,1,1,1
385,5,5,5,2,2,2
386,5,5,5,2,2,2
387,3,3,3,2,2,2
388,4,5,5,2,2,2
389,5,5,5,2,2,2
390,4,4,3,2,1,2
391,5,5,5,2,2,2
392,4,4,4,2,2,2
393,2,2,2,2,2,2
394,2,1,1,2,1,1
395,2,2,4,1,1,1
396,4,5,5,2,2,2
397,5,5,5,2,2,2
398,5,5,5,2,2,2
399,4,5,5,2,2,2
400,1,3,3,1,1,2
401,4,4,4,2,1,2
402,3,5,5,2,2,2
403,5,5,3,2,2,2
404,3,4,4,2,1,2
405,5,5,5,2,2,2
406,2,3,3,1,2,2
407,5,5,5,2,2,2
408,3,4,5,2,2,2
409,3,5,5,2,1,2
410,4,4,5,2,2,2
411,5,5,5,2,2,2
412,1,1,1,2,2,2
413,4,4,4,2,2,2
414,3,2,4,2,1,2
415,5,3,5,2,2,2
416,4,5,3,2,2,2
417,4,4,5,2,2,2
418,1,1,3,2,1,1
419,4,2,3,2,2,1
420,2,4,2,2,2,1
421,5,5,5,2,2,2
422,1,3,2,2,1,1
423,5,5,5,2,2,2
424,5,5,5,2,1,2
425,3,4,3,2,1,2
426,3,1,3,2,1,1
427,3,4,5,2,2,1
428,5,5,5,2,2,2
429,5,5,5,2,2,2
430,5,5,5,2,2,2
431,2,2,4,2,2,1
432,5,5,5,2,2,2
433,4,5,3,2,2,2
434,4,4,5,2,2,2
435,5,5,5,2,2,2
436,4,2,3,2,2,2
437,5,5,5,1,1,1
438,2,2,2,1,1,1
439,3,4,3,2,2,2
440,2,2,2,2,1,1
441,5,5,5,2,2,2
442,2,2,3,2,2,1
443,5,5,5,2,2,2
444,5,2,3,2,2,1
445,1,1,3,2,2,1
446,2,3,4,2,1,2
447,5,4,5,2,2,2
448,3,2,3,1,1,1
449,5,5,5,2,1,1
450,5,5,5,2,2,2
451,5,4,5,2,2,1
452,5,4,5,2,2,2
453,5,5,5,2,2,2
454,2,3,4,2,2,2
455,5,5,5,2,2,2
456,1,1,3,2,1,1
457,4,3,5,2,2,2
458,5,5,5,2,1,1
459,1,4,2,2,2,2
460,5,5,5,2,2,2
461,2,2,2,1,1,1
462,5,5,5,2,2,2
463,5,4,5,2,2,2
464,1,2,1,1,1,1
465,3,3,4,2,2,2
466,4,4,4,2,1,2
467,5,5,5,2,2,2
468,2,1,2,1,1,1
469,4,2,4,2,1,1
470,1,1,1,1,1,1
471,3,4,2,2,1,2
472,1,4,4,1,2,2
473,4,4,5,2,1,2
474,4,3,3,2,2,2
475,4,4,5,1,2,2
476,5,5,4,2,2,2
477,5,5,5,2,2,2
478,1,1,1,2,2,2
479,3,3,3,2,2,2
480,4,4,4,1,2,2
481,2,2,5,2,1,1
482,3,3,3,2,2,2
483,5,2,5,2,2,1
484,5,5,5,2,2,2
485,4,4,3,2,2,2
486,3,3,4,2,1,1
487,5,5,5,2,2,2
488,5,4,5,2,2,2
489,4,3,3,1,1,1
490,4,2,1,2,1,1
491,5,5,4,2,2,1
492,5,5,5,2,2,2
493,5,4,4,2,1,2
494,3,4,4,2,2,2
495,5,5,5,2,1,1
496,4,5,5,2,2,2
497,4,2,3,2,2,2
498,5,4,5,2,2,2
499,1,4,3,2,2,2
500,4,5,4,2,2,2
501,4,4,5,2,2,2
502,2,3,2,2,1,2
503,2,2,2,2,2,2
504,1,2,2,1,1,2
505,3,5,3,2,2,2
506,2,2,3,2,1,1
507,5,5,4,2,2,2
508,5,5,5,2,2,2
509,4,5,4,2,2,2
510,2,3,3,2,2,2
511,4,5,1,2,2,2
512,5,5,4,2,2,2
513,5,5,5,2,2,2
514,2,5,5,2,2,2
515,1,1,1,2,2,1
516,4,4,5,2,2,2
517,5,5,5,2,2,2
518,1,1,2,1,1,1
519,3,5,3,2,2,2
520,3,4,4,2,1,2
521,5,4,4,2,2,2
522,2,1,1,2,1,1
523,5,2,5,2,1,2
524,4,5,3,2,1,2
525,3,2,2,2,2,1
526,4,2,1,2,2,2
527,1,2,2,1,1,1
528,2,4,4,2,2,2
529,3,4,5,2,2,1
530,5,4,4,2,2,1
531,3,3,5,2,2,2
532,5,5,5,2,2,2
533,5,5,1,2,2,2
534,5,5,5,2,2,2
535,3,3,3,2,2,2
536,4,2,5,2,1,1
537,2,4,3,2,2,2
538,5,5,5,2,2,2
539,4,5,5,2,2,2
540,2,5,3,1,2,2
541,5,5,5,2,2,2
542,3,3,4,2,1,1
543,5,5,5,2,2,2
544,5,3,3,2,2,2
545,5,5,5,2,2,2
546,3,3,3,1,2,2
547,5,5,5,2,2,2
548,5,5,5,2,2,2
549,3,5,3,2,1,2
550,5,5,5,2,2,2
551,4,3,4,2,1,2
552,5,5,5,2,2,2
553,5,4,4,2,2,2
554,2,1,3,2,1,1
555,4,4,4,2,2,2
556,5,5,5,2,2,2
557,5,5,5,2,2,2
558,5,5,5,2,2,2
559,1,1,1,1,1,1
560,2,2,3,1,2,2
561,1,2,5,2,2,2
562,1,1,1,1,1,1
563,5,5,5,2,2,2
564,3,5,5,2,2,2
565,2,1,3,1,1,1
566,4,4,5,2,2,2
567,4,4,5,2,2,2
568,5,5,5,2,2,2
569,1,1,1,1,1,1
570,1,5,1,2,2,2
571,3,5,4,2,2,2
572,3,3,3,2,2,2
573,5,5,5,2,2,2
574,5,5,5,2,2,2
